RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,ChurnProbability,ChurnProbabilityPct,RiskSegment
1618,15801062,Matthews,557,Spain,Female,40,4,0.0,2,0,1,105433.53,0,0.15189610852625923,15.19,Low Risk
1619,15662955,Nicholls,697,France,Male,27,8,141223.68,2,1,0,90591.15,0,0.1358672862552664,13.59,Low Risk
1620,15770309,McDonald,656,France,Male,18,10,151762.74,1,0,1,127014.32,0,0.14766572331780278,14.77,Low Risk
1621,15657386,Fiorentini,712,Germany,Male,43,1,141749.74,2,0,1,90905.26,0,0.49046241816289127,49.05,Medium Risk
1622,15777797,Kovalyova,689,Spain,Male,38,5,75075.14,1,1,1,8651.92,1,0.3718664186445292,37.19,Medium Risk
1623,15783955,Miah,697,France,Female,25,4,165686.11,2,1,0,15467.98,0,0.20021681507062808,20.02,Low Risk
1624,15804516,Builder,589,France,Male,38,2,0.0,1,1,0,79915.28,0,0.43994240873655066,43.99,Medium Risk
1625,15681758,Baddeley,525,Spain,Female,25,10,0.0,2,1,0,69361.95,0,0.0876332783350511,8.76,Low Risk
1626,15630321,Hu,680,France,Male,44,3,0.0,2,1,0,86935.08,0,0.12763661311364444,12.76,Low Risk
1627,15588248,Hs?,617,France,Female,28,0,0.0,2,1,1,7597.83,1,0.2817604612738605,28.18,Low Risk
1628,15591932,Ford,680,France,Male,32,5,92961.61,1,1,0,116957.6,0,0.23325180962742906,23.33,Low Risk
1629,15810347,Todd,662,Spain,Female,30,9,0.0,2,0,1,157884.83,0,0.07079683263332323,7.08,Low Risk
1630,15595303,Johnston,736,Germany,Male,46,5,130812.91,1,1,1,77981.54,1,0.8353694124825692,83.54,High Risk
1631,15634950,Obiajulu,657,Germany,Male,57,8,107174.58,1,1,1,126369.55,1,0.7895745970715817,78.96,High Risk
1632,15685372,Azubuike,350,Spain,Male,54,1,152677.48,1,1,1,191973.49,1,0.6617900228631732,66.18,High Risk
1633,15745827,Padovesi,617,France,Male,30,3,132005.77,1,1,0,142940.39,0,0.20462803649236716,20.46,Low Risk
1634,15755868,Farmer,562,France,Male,35,7,0.0,1,0,0,48869.67,0,0.36128192833733297,36.13,Medium Risk
1635,15735222,Ignatieff,705,Spain,Female,23,5,0.0,2,1,1,73131.73,0,0.07357625466908983,7.36,Low Risk
1636,15604804,Lu,516,France,Female,33,7,127305.5,1,1,1,120037.36,0,0.17861284765914356,17.86,Low Risk
1637,15718944,Artemiev,573,France,Female,37,6,0.0,2,1,0,193995.37,0,0.1655818306156696,16.56,Low Risk
1638,15678626,Okonkwo,538,Spain,Female,31,0,0.0,2,0,0,179453.66,0,0.12706758135485313,12.71,Low Risk
1639,15571550,Dore,699,France,Male,39,9,0.0,1,1,0,80963.92,0,0.37736500251911365,37.74,Medium Risk
1640,15723053,T'ang,504,Germany,Male,32,8,170291.22,2,0,1,15658.99,0,0.10417879367246373,10.42,Low Risk
1641,15661528,Ashbolt,583,Spain,Male,47,5,102562.23,1,1,0,92708.1,0,0.6138659336238829,61.39,High Risk
1642,15754177,Bazarova,712,Spain,Male,53,2,111061.01,2,0,0,26542.17,0,0.6036217080002824,60.36,High Risk
1643,15683544,Buccho,626,Spain,Male,62,3,0.0,1,1,1,65010.74,0,0.5032272924259235,50.32,Medium Risk
1644,15708048,Burn,631,France,Female,34,4,124379.14,1,1,0,106892.91,0,0.3233905391967474,32.34,Medium Risk
1645,15701109,Andreyev,663,France,Female,37,7,0.0,1,1,1,185210.63,0,0.30486696334269286,30.49,Medium Risk
1646,15600110,Endrizzi,506,Germany,Female,41,3,57745.76,1,1,0,4035.46,0,0.36618370128635647,36.62,Medium Risk
1647,15651533,Brown,570,Germany,Female,50,5,129293.74,1,1,0,177805.44,1,0.952050034093686,95.21,High Risk
1648,15777904,Nock,703,France,Female,45,7,0.0,2,1,1,68831.72,0,0.16525383928520065,16.53,Low Risk
1649,15655574,Okeke,698,Germany,Female,40,8,150777.1,1,1,0,114732.62,0,0.5023141640236845,50.23,Medium Risk
1650,15569423,Cunningham,731,Spain,Male,41,4,0.0,2,1,0,22299.27,0,0.09761189281207369,9.76,Low Risk
1651,15718106,Kelley,625,France,Male,34,6,0.0,2,0,0,197283.2,0,0.08730068752492742,8.73,Low Risk
1652,15585067,Wilson,634,Spain,Male,31,9,108632.48,1,1,1,179485.96,1,0.3057358556443628,30.57,Medium Risk
1653,15675501,Woods,616,France,Male,59,5,153861.1,1,1,1,17699.48,0,0.39997821145732915,40.0,Medium Risk
1654,15633233,McFarland,500,France,Male,56,1,100374.58,1,1,0,118490.8,1,0.8999389913414054,89.99,High Risk
1655,15667134,Cisneros,446,France,Male,32,8,0.0,2,0,0,133292.94,0,0.0934915233216749,9.35,Low Risk
1656,15659105,Borchgrevink,669,France,Female,47,9,61196.54,1,1,0,58170.24,0,0.7955781549318082,79.56,High Risk
1657,15575409,Rozhkova,581,Germany,Male,31,6,116891.72,1,1,0,107137.3,0,0.49182213141058695,49.18,Medium Risk
1658,15752342,Bradley,704,Germany,Female,54,6,133656.91,3,1,0,145071.33,1,0.9792315025201552,97.92,High Risk
1659,15654851,Obialo,748,France,Male,44,2,92911.52,1,0,1,85495.24,0,0.4312350499127507,43.12,Medium Risk
1660,15741429,Hudson,680,Spain,Female,31,9,119825.75,2,1,1,101139.3,0,0.14666150661473995,14.67,Low Risk
1661,15682356,Veltri,655,France,Female,37,7,111852.84,2,1,0,10511.13,0,0.27072970389338247,27.07,Low Risk
1662,15806447,Mazzanti,690,Germany,Male,32,0,106683.52,2,1,1,137916.49,0,0.17489586491369613,17.49,Low Risk
1663,15800229,Thorpe,695,Germany,Male,40,7,139022.24,1,0,1,193383.13,0,0.5648487097675252,56.48,Medium Risk
1664,15663441,Golibe,700,Germany,Female,40,4,148571.07,1,1,0,189826.96,1,0.6435306019418986,64.35,High Risk
1665,15791991,Udinesi,773,France,Male,52,4,0.0,1,0,1,144113.42,0,0.6093120885128627,60.93,High Risk
1666,15775082,Stewart,749,France,Male,42,1,129776.72,2,0,1,143538.51,0,0.20152884827542297,20.15,Low Risk
1667,15579706,Curtis,611,France,Female,46,5,0.0,1,1,0,77677.14,1,0.8418962667991943,84.19,High Risk
1668,15718247,Hayden,606,Spain,Female,46,8,0.0,2,1,1,183717.94,0,0.24417718731546004,24.42,Low Risk
1669,15755722,H?,554,France,Male,24,10,0.0,1,0,0,92180.62,0,0.2925271147795201,29.25,Low Risk
1670,15582259,Campbell,567,France,Female,37,7,0.0,2,1,1,28690.9,0,0.11014429906733152,11.01,Low Risk
1671,15716994,Green,559,Spain,Male,24,3,114739.92,1,1,0,85891.02,1,0.3266621621267824,32.67,Medium Risk
1672,15586880,P'eng,594,Germany,Male,41,2,122545.65,2,1,1,42050.24,0,0.30839571170747265,30.84,Medium Risk
1673,15713854,Cremonesi,513,France,Female,37,6,0.0,2,1,0,110142.34,0,0.122245119846834,12.22,Low Risk
1674,15780835,Liang,652,Germany,Female,26,1,131908.35,1,1,1,179269.79,0,0.3539197326639294,35.39,Medium Risk
1675,15675896,Gough,680,Germany,Female,42,7,105722.69,1,1,1,90558.24,1,0.6709889884067674,67.1,High Risk
1676,15658459,Bates,784,Spain,Male,33,10,0.0,2,1,0,162022.47,0,0.05821489127517741,5.82,Low Risk
1677,15658057,Padovesi,812,Spain,Female,44,8,0.0,3,1,0,66926.83,1,0.8421491844664204,84.21,High Risk
1678,15801767,Yin,784,Spain,Female,40,8,0.0,2,1,0,108891.3,0,0.1637465602296628,16.37,Low Risk
1679,15569178,Kharlamov,570,France,Female,18,4,82767.42,1,1,0,71811.9,0,0.26992230687931656,26.99,Low Risk
1680,15731478,Nicholls,712,France,Female,42,1,87842.98,1,0,0,92223.59,0,0.5413261532463702,54.13,Medium Risk
1681,15811236,Burns,705,Spain,Male,39,6,133261.13,1,1,1,78065.9,0,0.1356967460946202,13.57,Low Risk
1682,15746749,Fleming,681,Spain,Female,32,3,0.0,2,1,1,59679.9,0,0.0929548132465809,9.3,Low Risk
1683,15662758,Watson,620,France,Male,41,0,97925.11,1,1,0,85000.32,0,0.3557510716220694,35.58,Medium Risk
1684,15709387,Obiajulu,711,France,Male,52,5,0.0,1,1,1,159808.95,0,0.5436058194381944,54.36,Medium Risk
1685,15572093,Han,613,France,Female,24,7,140453.91,1,1,0,129001.3,0,0.2779494170919165,27.79,Low Risk
1686,15713826,Ferguson,613,Germany,Female,20,0,117356.19,1,0,0,113557.7,1,0.6343682466198834,63.44,High Risk
1687,15570205,Tao,682,Spain,Male,36,5,0.0,2,1,1,147758.51,0,0.045222545223115466,4.52,Low Risk
1688,15589348,Le Grand,850,Spain,Male,37,4,137204.77,1,1,1,28865.59,0,0.11883717376325653,11.88,Low Risk
1689,15804610,Valdez,601,France,Female,41,1,0.0,2,0,1,160607.06,0,0.2109965339894452,21.1,Low Risk
1690,15700854,Cunningham,595,Spain,Male,35,8,0.0,1,1,0,100015.79,1,0.4568006332814872,45.68,Medium Risk
1691,15758836,Godfrey,675,Spain,Male,36,3,54098.18,2,0,1,54478.52,0,0.08486823007501543,8.49,Low Risk
1692,15772933,Mai,591,Spain,Male,31,8,0.0,1,1,1,141677.33,0,0.29792790463507973,29.79,Low Risk
1693,15809006,Walker,602,France,Male,23,7,113758.48,2,0,0,84077.6,0,0.14770462138827076,14.77,Low Risk
1694,15689612,Pirozzi,554,Spain,Female,34,8,0.0,1,0,1,106981.03,0,0.2799856376231147,28.0,Low Risk
1695,15744614,Feng,541,France,Male,37,9,118636.92,1,1,1,73551.44,0,0.1949135356964325,19.49,Low Risk
1696,15704250,Akabueze,506,France,Male,34,7,0.0,2,0,0,115842.1,0,0.06816103773226025,6.82,Low Risk
1697,15700255,Robson,814,Germany,Male,44,8,95488.82,2,0,0,107013.59,0,0.3705343194539499,37.05,Medium Risk
1698,15669410,Yevdokimova,683,France,Male,30,8,110829.52,2,0,0,24938.84,0,0.13680158771154055,13.68,Low Risk
1699,15807595,Ijendu,485,Germany,Male,51,7,144244.59,2,1,0,51113.14,0,0.6186624415555091,61.87,High Risk
1700,15664523,Colombo,696,Germany,Female,31,8,122021.92,2,1,0,33828.64,0,0.24027296916955176,24.03,Low Risk
1701,15642833,Akubundu,608,France,Female,30,8,0.0,2,1,0,128875.86,0,0.09010743965061326,9.01,Low Risk
1702,15605279,Francis,792,France,Male,50,9,0.0,4,1,1,194700.81,1,0.7518198775119092,75.18,High Risk
1703,15713644,Marshall,686,Spain,Male,22,5,0.0,2,1,0,158974.45,0,0.04993363977553689,4.99,Low Risk
1704,15750466,Rhodes,790,Germany,Male,42,1,85839.62,1,1,0,198182.73,0,0.4389700780798188,43.9,Medium Risk
1705,15739054,Y?,654,France,Female,29,4,96974.97,1,0,1,141404.07,0,0.1976770693997785,19.77,Low Risk
1706,15612771,Bell,452,France,Male,35,4,148172.44,1,1,1,4175.68,0,0.18179663894645198,18.18,Low Risk
1707,15788483,Kerr,719,Spain,Male,38,0,0.0,1,1,0,126876.47,0,0.41577633044297596,41.58,Medium Risk
1708,15732832,Jideofor,707,France,Female,40,5,0.0,2,1,0,41052.82,0,0.17310120821984573,17.31,Low Risk
1709,15772892,Robertson,699,France,Female,49,2,0.0,1,0,0,105760.01,0,0.8630144615549614,86.3,High Risk
1710,15713843,Kao,850,Spain,Male,30,2,0.0,2,0,1,27937.12,0,0.06062305830847424,6.06,Low Risk
1711,15567993,Palmer,828,Spain,Male,28,8,134766.85,1,1,0,79355.87,0,0.28011818811153516,28.01,Low Risk
1712,15617603,Mackay,850,Germany,Male,30,5,123210.56,2,1,1,102180.27,0,0.1625251804873415,16.25,Low Risk
1713,15744983,Burgmann,712,Spain,Male,47,1,139887.01,1,1,1,95719.73,0,0.4157629836849487,41.58,Medium Risk
1714,15630419,Davis,634,France,Male,44,9,149961.11,1,1,0,57121.51,0,0.6107180217028997,61.07,High Risk
1715,15738828,Milano,730,Germany,Male,45,6,152880.97,1,0,0,162478.11,0,0.7696915665299217,76.97,High Risk
1716,15778025,Dellucci,685,Germany,Male,43,9,108589.47,2,0,1,194808.51,0,0.3197046023456715,31.97,Medium Risk
1717,15799479,Coles,809,Spain,Male,33,9,0.0,1,1,1,124045.65,0,0.20200695615093878,20.2,Low Risk
1718,15684269,Gray,707,Spain,Female,35,3,56674.48,1,1,0,17987.4,1,0.5887325865521597,58.87,Medium Risk
1719,15762745,Macvitie,648,Spain,Male,32,8,0.0,1,1,0,133653.38,0,0.33962249673545136,33.96,Medium Risk
1720,15746970,Townsend,760,Spain,Female,57,1,0.0,2,1,1,25101.17,0,0.24620177585722497,24.62,Low Risk
1721,15725024,Pope,805,Germany,Female,33,3,105663.56,2,0,1,33330.89,0,0.23048458610295147,23.05,Low Risk
1722,15592116,Jensen,585,France,Female,39,7,0.0,2,1,0,2401.26,0,0.19247164212361392,19.25,Low Risk
1723,15624391,Thomson,595,Spain,Female,30,5,100683.54,1,1,1,178361.04,0,0.33698564858488034,33.7,Medium Risk
1724,15567422,Chiazagomekpele,630,France,Male,42,6,0.0,2,1,0,162697.93,0,0.11998221230380589,12.0,Low Risk
1725,15612627,Ozuluonye,627,Germany,Male,29,5,139541.58,2,1,0,80607.33,0,0.20791447930855725,20.79,Low Risk
1726,15574879,Wright,631,Germany,Female,37,2,121801.72,2,0,1,23146.62,0,0.2643676287676478,26.44,Low Risk
1727,15745107,Lung,776,Germany,Male,38,5,112281.7,1,0,1,89893.6,0,0.43510589014840045,43.51,Medium Risk
1728,15734491,Lombardo,676,Spain,Female,36,4,0.0,2,1,1,3173.31,0,0.13756594047757228,13.76,Low Risk
1729,15675320,Leonard,758,Spain,Female,40,5,93499.82,2,0,0,123218.81,0,0.2976410603837488,29.76,Low Risk
1730,15643824,Johnston,637,France,Male,33,0,132255.99,2,0,1,74588.41,0,0.1562598581843675,15.63,Low Risk
1731,15643438,P'eng,850,France,Male,20,7,0.0,2,1,0,31288.77,0,0.08574933231275153,8.57,Low Risk
1732,15721730,Amechi,601,Spain,Female,44,4,0.0,2,1,0,58561.31,0,0.24906548337824583,24.91,Low Risk
1733,15680727,Fang,735,France,Male,49,5,121973.28,1,1,0,148804.36,0,0.7058713575221452,70.59,High Risk
1734,15752508,Docherty,614,Germany,Male,32,7,99462.8,2,1,1,51117.06,0,0.08184256886261063,8.18,Low Risk
1735,15808846,Horton,672,Germany,Female,21,3,165878.76,2,1,1,164537.17,0,0.11873513624579186,11.87,Low Risk
1736,15727251,Vincent,642,France,Male,30,8,117494.27,1,0,0,61977.82,0,0.23853385356365436,23.85,Low Risk
1737,15663489,Onio,633,Germany,Female,29,0,138577.34,1,1,0,193362.99,0,0.48847262291099885,48.85,Medium Risk
1738,15683677,Schiavone,769,Spain,Male,39,9,0.0,1,1,1,47722.79,0,0.21864336854248886,21.86,Low Risk
1739,15596414,Chandler,796,Spain,Male,41,8,107525.07,1,1,0,18510.41,0,0.3625124507423812,36.25,Medium Risk
1740,15730639,Fiorentino,715,France,Male,23,7,139224.92,2,1,0,65057.71,0,0.16241955732326982,16.24,Low Risk
1741,15672132,Butusov,695,France,Female,42,7,121453.63,1,0,0,46374.64,0,0.4765155950169253,47.65,Medium Risk
1742,15742638,Wang,747,France,Female,25,4,0.0,2,0,1,42039.67,0,0.05694234276778387,5.69,Low Risk
1743,15578603,Alexeieva,584,Germany,Female,54,1,77354.37,1,0,0,138192.98,1,0.9032489980343852,90.32,High Risk
1744,15726088,Vinogradova,476,France,Male,40,6,0.0,1,1,1,22735.45,0,0.35758764197998644,35.76,Medium Risk
1745,15682533,Hughes,850,France,Female,39,7,79259.99,1,0,1,186910.74,0,0.3269112705653036,32.69,Medium Risk
1746,15772995,Ts'ao,529,France,Male,30,2,116295.29,1,1,0,75285.47,0,0.21085706884094804,21.09,Low Risk
1747,15765694,Bage,584,Spain,Female,59,1,0.0,1,0,1,130260.11,1,0.7120598216962017,71.21,High Risk
1748,15659486,Yudina,586,Germany,Male,34,9,74309.81,1,1,0,15034.93,0,0.237899097827132,23.79,Low Risk
1749,15568963,Naquin,674,Germany,Male,34,2,152797.9,1,1,0,175709.4,1,0.30681343481676815,30.68,Medium Risk
1750,15703820,Endrizzi,552,France,Male,42,9,133701.07,2,1,0,101069.71,1,0.4340235299952273,43.4,Medium Risk
1751,15569410,Tang,601,Germany,Female,33,7,114430.18,2,1,1,153012.13,0,0.18612293799450338,18.61,Low Risk
1752,15632256,Schroeder,541,France,Male,29,7,127504.57,1,0,0,86173.92,0,0.22054153171013852,22.05,Low Risk
1753,15724466,Swearingen,744,Germany,Female,41,2,84113.41,1,1,0,197548.63,0,0.4421808543296035,44.22,Medium Risk
1754,15777639,McGregor,595,Spain,Female,23,10,101126.66,2,0,0,37042.8,0,0.17718615230938142,17.72,Low Risk
1755,15802501,Onyeorulu,724,Germany,Male,33,5,103564.83,2,1,0,121085.72,0,0.20948046022765052,20.95,Low Risk
1756,15778410,Clarke,533,Spain,Female,52,7,0.0,1,0,1,194113.99,1,0.7355851349372119,73.56,High Risk
1757,15670702,Smith,618,France,Male,37,2,168178.21,2,0,1,101273.23,0,0.157367412211356,15.74,Low Risk
1758,15704763,Kozlova,523,Germany,Female,39,1,143903.11,1,1,1,118711.75,1,0.6839648789056344,68.4,High Risk
1759,15645544,Nekrasov,642,Germany,Female,30,5,129753.69,1,1,0,582.53,0,0.5354309407189993,53.54,Medium Risk
1760,15757646,Olague,584,France,Male,35,9,0.0,2,1,0,192381.21,0,0.0990073104165353,9.9,Low Risk
1761,15701121,Holt,521,France,Male,38,5,110641.18,1,0,1,136507.69,1,0.32186139041528744,32.19,Medium Risk
1762,15796313,Olsen,662,France,Female,36,4,166909.2,2,1,0,138871.12,1,0.3821519393315664,38.22,Medium Risk
1763,15815660,Mazzi,758,France,Female,34,1,154139.45,1,1,1,60728.89,0,0.14267298419396288,14.27,Low Risk
1764,15602844,Niu,717,France,Male,38,7,97459.06,1,0,0,189175.71,0,0.33380021850169217,33.38,Medium Risk
1765,15636238,Graham,611,France,Male,40,1,0.0,2,1,1,102547.56,0,0.07900209755777915,7.9,Low Risk
1766,15770101,Millar,766,Germany,Male,43,6,112088.04,2,1,1,36706.56,0,0.4593110402314264,45.93,Medium Risk
1767,15645543,Bell,636,France,Female,34,3,0.0,2,1,1,44756.25,0,0.09253412509469607,9.25,Low Risk
1768,15596397,Kelly,814,France,Female,48,7,0.0,2,1,1,132870.15,0,0.26805813369532655,26.81,Low Risk
1769,15770525,T'an,760,Spain,Male,28,1,141038.57,2,0,0,16287.38,0,0.16387836003776837,16.39,Low Risk
1770,15684267,Davila,607,Germany,Male,39,2,84468.67,2,1,1,121945.42,0,0.1623936158806352,16.24,Low Risk
1771,15689980,Willis,725,Spain,Female,36,4,118520.26,1,0,0,131173.9,1,0.41556550135292575,41.56,Medium Risk
1772,15633260,Dumetochukwu,600,France,Male,37,1,142663.46,1,0,1,88669.89,0,0.17688818622238825,17.69,Low Risk
1773,15756471,Giles,656,Germany,Male,27,4,118627.16,2,1,1,160835.3,0,0.09919826839272586,9.92,Low Risk
1774,15721303,O'Meara,640,Spain,Male,34,1,137523.02,1,0,0,24761.36,0,0.26568008551871625,26.57,Low Risk
1775,15802256,Yao,439,France,Male,28,7,110976.23,2,1,0,138526.96,0,0.15405611339484718,15.41,Low Risk
1776,15725664,Wallace,549,France,Female,38,8,107283.4,1,0,0,157442.75,0,0.3982309562253694,39.82,Medium Risk
1777,15674851,T'ien,622,France,Male,38,5,0.0,2,0,0,105295.77,0,0.07189808224472381,7.19,Low Risk
1778,15701946,Ndubueze,715,France,Male,34,4,124314.45,1,0,0,97782.92,0,0.23895971141165237,23.9,Low Risk
1779,15748947,Chukwuraenye,657,France,Female,41,5,95858.37,1,1,1,68255.88,0,0.36105393107156286,36.11,Medium Risk
1780,15673342,K'ung,703,France,Male,36,2,0.0,2,1,0,108790.95,0,0.08589183503190725,8.59,Low Risk
1781,15601008,Stevenson,802,France,Male,33,8,0.0,2,1,0,143706.18,0,0.05737060853459274,5.74,Low Risk
1782,15771636,Marshall,793,Spain,Female,36,0,0.0,1,0,0,148993.47,0,0.4002788480857239,40.03,Medium Risk
1783,15642002,Hayward,554,France,Female,35,6,117707.18,2,0,0,95277.15,1,0.3324310345656674,33.24,Medium Risk
1784,15693381,Tipton,533,Spain,Male,38,1,135289.33,2,0,1,152956.33,0,0.12634726099544782,12.63,Low Risk
1785,15607691,Gibson,658,France,Male,36,8,174060.46,1,1,1,94925.62,0,0.17578907174629088,17.58,Low Risk
1786,15589380,Fraser,713,Germany,Male,40,3,114446.84,2,1,1,87308.18,0,0.3184663352323444,31.85,Medium Risk
1787,15603846,Fang,711,Spain,Male,37,2,0.0,2,1,0,83978.86,1,0.18257253413179617,18.26,Low Risk
1788,15753549,Dubinina,669,France,Male,25,1,157848.53,1,0,0,37543.93,1,0.20728667306519097,20.73,Low Risk
1789,15725355,Morey,439,France,Female,43,8,0.0,1,0,1,104889.3,0,0.50725343703576,50.73,Medium Risk
1790,15773017,Todd,763,Spain,Female,37,6,0.0,2,1,1,149705.25,0,0.06945780022381175,6.95,Low Risk
1791,15625641,Forbes,697,Germany,Female,74,3,108071.36,2,1,1,16445.79,0,0.32156703436157497,32.16,Medium Risk
1792,15776467,De Salis,702,Spain,Female,35,8,14262.8,2,1,0,54689.16,0,0.19967033941305917,19.97,Low Risk
1793,15746451,Barry,686,Spain,Male,41,7,102749.72,1,0,1,194913.86,0,0.24596799313690146,24.6,Low Risk
1794,15777922,Afamefuna,629,Spain,Male,36,1,161757.87,2,1,1,146371.72,0,0.13325318759349503,13.33,Low Risk
1795,15606841,Ibbott,823,France,Male,38,1,0.0,2,1,0,156603.7,0,0.08315993862412173,8.32,Low Risk
1796,15757648,Marshall,683,Germany,Female,35,5,95698.79,1,0,1,182566.76,0,0.41114406340103843,41.11,Medium Risk
1797,15677173,Law,555,France,Male,37,9,124969.13,1,1,0,60194.05,0,0.2941556171789122,29.42,Low Risk
1798,15764170,Pinto,647,Germany,Male,44,4,93960.35,1,1,0,36579.53,1,0.7982918159607302,79.83,High Risk
1799,15610446,Chinedum,714,France,Female,51,4,88308.87,3,0,0,5862.53,1,0.9232203339334734,92.32,High Risk
1800,15612776,McKay,850,Spain,Female,39,10,0.0,2,1,1,143030.09,0,0.16165134749471147,16.17,Low Risk
1801,15794122,Otutodilinna,713,France,Female,59,3,0.0,2,1,1,62700.08,0,0.23417586857376313,23.42,Low Risk
1802,15774931,She,452,France,Male,30,7,112935.87,1,1,1,99017.34,0,0.13878252112469905,13.88,Low Risk
1803,15779247,Pai,683,Spain,Female,24,8,98567.1,1,1,0,187987.01,0,0.26105334112928347,26.11,Low Risk
1804,15707078,Kruglov,577,France,Female,26,1,180530.51,1,0,0,123454.62,0,0.37465488859414353,37.47,Medium Risk
1805,15605263,Chin,552,France,Male,33,5,140931.57,1,0,1,10921.5,0,0.16836699993833912,16.84,Low Risk
1806,15607381,King,769,Germany,Female,31,7,148913.72,2,1,0,53817.23,0,0.22480097576292682,22.48,Low Risk
1807,15683471,Hansen,691,France,Male,38,7,0.0,2,0,0,81617.4,0,0.07299570649855275,7.3,Low Risk
1808,15605037,Ting,818,France,Female,49,2,0.0,1,0,1,192298.84,1,0.7661184420893231,76.61,High Risk
1809,15576085,Stone,739,France,Male,41,5,0.0,2,0,0,143882.25,0,0.1027083737954701,10.27,Low Risk
1810,15770435,McLean,639,France,Female,50,6,115335.32,2,1,1,53130.41,0,0.4827433043044503,48.27,Medium Risk
1811,15592994,Zikoranachidimma,651,France,Female,65,0,0.0,2,1,1,190454.04,0,0.13766693291762713,13.77,Low Risk
1812,15624068,Fu,779,France,Female,26,0,0.0,2,0,1,111906.0,0,0.13496176765696308,13.5,Low Risk
1813,15595221,Trevisano,850,Germany,Female,33,7,134678.13,1,1,0,113177.95,0,0.5340268873848429,53.4,Medium Risk
1814,15637131,Fallaci,829,France,Male,38,9,0.0,2,1,0,30529.88,0,0.07194290703047884,7.19,Low Risk
1815,15613471,Wiley,579,Germany,Male,31,2,90547.48,2,1,1,18800.13,0,0.08521717702218524,8.52,Low Risk
1816,15583499,Chiagoziem,510,France,Male,32,9,103324.78,1,1,1,46127.7,0,0.11947020910651919,11.95,Low Risk
1817,15752816,Murray,531,France,Male,29,3,114590.58,1,0,0,75585.48,0,0.21673454702867048,21.67,Low Risk
1818,15804075,Chuang,628,Germany,Female,36,3,91286.51,1,1,0,63085.94,0,0.44532559695257673,44.53,Medium Risk
1819,15800517,Huang,633,Spain,Male,32,5,163340.12,2,1,1,74415.2,0,0.14528949834518898,14.53,Low Risk
1820,15712319,Chukwukere,714,Spain,Male,45,8,150900.29,2,0,1,139889.15,0,0.3880992550238254,38.81,Medium Risk
1821,15797389,Hsia,604,Spain,Male,23,9,124577.33,1,1,1,7267.25,0,0.15111882976264468,15.11,Low Risk
1822,15621432,Lee,630,Spain,Male,35,1,0.0,2,0,0,186826.22,0,0.07775469239825326,7.78,Low Risk
1823,15779390,Theus,850,Spain,Female,31,4,91292.7,1,1,1,162149.07,0,0.18414939747746886,18.41,Low Risk
1824,15711219,Jennings,788,Germany,Female,57,8,93716.72,1,1,1,180150.49,1,0.7751777044922242,77.52,High Risk
1825,15770498,Parker,798,France,Female,37,4,111723.08,1,1,1,83478.12,0,0.20113095644137738,20.11,Low Risk
1826,15678727,Tan,770,Germany,Male,45,4,110765.68,1,1,0,26163.74,1,0.8720392016278091,87.2,High Risk
1827,15573893,Barry,569,Germany,Male,25,9,173459.45,2,1,1,44381.06,0,0.09347435596793445,9.35,Low Risk
1828,15740104,Tuan,425,Spain,Female,22,7,169649.73,2,0,1,136365.0,1,0.43982677442769924,43.98,Medium Risk
1829,15792649,Patterson,547,Spain,Female,31,9,0.0,2,0,0,99294.22,0,0.08743205231769145,8.74,Low Risk
1830,15605275,Ofodile,725,Germany,Male,45,8,116917.07,1,0,0,173464.43,1,0.8522939325559359,85.23,High Risk
1831,15572467,Chandler,506,France,Male,37,5,0.0,2,1,1,127543.81,0,0.04692741329079801,4.69,Low Risk
1832,15738219,Nash,632,France,Female,36,7,0.0,2,1,1,52526.65,0,0.11999644547023405,12.0,Low Risk
1833,15600710,Atkinson,620,France,Male,22,0,0.0,1,1,0,32589.45,0,0.22569184083826652,22.57,Low Risk
1834,15804394,Brenan,663,Germany,Male,32,8,130627.66,1,1,0,47161.25,1,0.6019315108184146,60.19,High Risk
1835,15694188,Obidimkpa,700,Spain,Female,46,5,56580.95,2,0,1,45424.13,0,0.32520055833818495,32.52,Medium Risk
1836,15583718,Terry,696,Germany,Male,38,6,142316.14,1,1,1,8018.49,0,0.4587921069996689,45.88,Medium Risk
1837,15802478,Spring,767,Spain,Male,31,6,0.0,2,1,1,195668.0,0,0.037979520297506945,3.8,Low Risk
1838,15619343,Mahmood,561,France,Male,56,7,152759.0,2,1,0,133167.11,1,0.8060543999119033,80.61,High Risk
1839,15758813,Campbell,350,Germany,Male,39,0,109733.2,2,0,0,123602.11,1,0.5792748894263532,57.93,Medium Risk
1840,15761374,Bellucci,706,France,Male,54,9,117444.51,1,1,1,186238.85,0,0.39632654042335,39.63,Medium Risk
1841,15569209,Amaechi,464,Spain,Female,34,5,76001.57,1,1,1,158668.87,0,0.27452777529919425,27.45,Low Risk
1842,15788539,Foxall,501,France,Female,34,3,107747.57,1,1,0,9249.36,0,0.2817669806915947,28.18,Low Risk
1843,15747222,Bentley,745,Spain,Female,35,8,0.0,2,1,1,116581.1,0,0.06715535967628666,6.72,Low Risk
1844,15769346,Baird,587,France,Female,36,1,134997.49,2,1,0,44688.08,0,0.20919023156770683,20.92,Low Risk
